config,dataset,ablated,n,max_median,top128_median
gb1_full,GB1,— (Plan C),30,0.8623,0.3624155082382236
gb1_no_mcreward,GB1,− MutCompute reward,30,1.0000,0.4588022058820488
gb1_no_shap,GB1,− SHAP pruning,30,0.8329,0.36478755975459265
gb1_bare,GB1,− both,30,0.9591,0.4182399882358988
phoq_full,PhoQ,— (Plan C),30,0.3587,0.09582799087210103
phoq_no_mcreward,PhoQ,− MutCompute reward,30,0.4541,0.12242718194425554
phoq_no_shap,PhoQ,− SHAP pruning,30,0.3859,0.09511447598706892
phoq_bare,PhoQ,− both,30,0.4718,0.12022273516409049
tev_full,TEV,— (Plan C),30,0.3542,0.4778009487480328
tev_no_mcreward,TEV,− MutCompute reward,30,0.3654,0.49203187081588096
tev_no_shap,TEV,− SHAP pruning,30,0.3549,0.476321363043107
tev_bare,TEV,− both,30,0.3667,0.48058289150157674
trpb_full,TrpB,— (Plan C),30,0.8180,0.4148721135
trpb_no_mcreward,TrpB,− MutCompute reward,30,0.8165,0.5413567775
trpb_no_shap,TrpB,− SHAP pruning,30,0.8326,0.39525477124999997
trpb_bare,TrpB,− both,30,0.8326,0.55550588525
cre_full,CreiLOV,— (Plan C),30,0.9871,0.8991811435999078
cre_no_ev,CreiLOV,− EV features,30,0.9725,0.899261900785582
cre_no_shap,CreiLOV,− SHAP/constraint,30,0.9798,0.8965613597647353
cre_no_cap,CreiLOV,− mutation cap,30,0.9725,0.9140597822848229
cre_no_prior,CreiLOV,− homolog prior,30,0.9871,0.9119437135081568
aav_full,AAV,— (Plan C),30,0.7107,0.6487973770120212
aav_no_ev,AAV,− EV features,30,0.7128,0.6423828413237912
aav_no_shap,AAV,− SHAP/constraint,30,0.7101,0.6486643056844392
aav_no_cap,AAV,− mutation cap,30,0.6723,0.39532991172706283
aav_no_prior,AAV,− homolog prior,30,0.7185,0.6445692060508839
pab1_full,PAB1,— (Plan C),10,0.5872,0.5131525245407234
pab1_no_ev,PAB1,− EV features,10,0.5486,0.452974188486567
pab1_no_shap,PAB1,− SHAP/constraint,10,0.5862,0.49982132737559654
pab1_no_cap,PAB1,− mutation cap,10,0.4030,0.12187517541042692
pab1_no_prior,PAB1,− homolog prior,10,0.5837,0.5025117505997956
gfp_full,GFP,— (Plan C),5,0.9561,0.8131052892426882
gfp_no_ev,GFP,− EV features,5,0.9337,0.7906356922254453
gfp_no_shap,GFP,− SHAP/constraint,5,0.9337,0.8007189812287073
gfp_no_cap,GFP,− mutation cap,5,0.9337,-0.037937848604155625
gfp_no_prior,GFP,− homolog prior,5,0.9337,0.757197997138692
