group,dataset,method,rank,n_methods_in_dataset
Four-site,GB1,Random,10,10
Four-site,GB1,AiCE,9,10
Four-site,GB1,EVOLVEpro,8,10
Four-site,GB1,GreedyWalk,7,10
Four-site,GB1,CLADE,6,10
Four-site,GB1,MULTI-evolve,5,10
Four-site,GB1,ftMLDE,4,10
Four-site,GB1,AdaLead,3,10
Four-site,GB1,AlphaVariant,2,10
Four-site,GB1,ALDE,1,10
Four-site,PhoQ,Random,10,10
Four-site,PhoQ,EVOLVEpro,9,10
Four-site,PhoQ,AiCE,8,10
Four-site,PhoQ,GreedyWalk,7,10
Four-site,PhoQ,CLADE,6,10
Four-site,PhoQ,AdaLead,5,10
Four-site,PhoQ,ALDE,4,10
Four-site,PhoQ,ftMLDE,3,10
Four-site,PhoQ,AlphaVariant,2,10
Four-site,PhoQ,MULTI-evolve,1,10
Four-site,TEV,ftMLDE,10,10
Four-site,TEV,AlphaVariant,9,10
Four-site,TEV,ALDE,8,10
Four-site,TEV,CLADE,7,10
Four-site,TEV,GreedyWalk,6,10
Four-site,TEV,MULTI-evolve,5,10
Four-site,TEV,Random,4,10
Four-site,TEV,AdaLead,3,10
Four-site,TEV,EVOLVEpro,2,10
Four-site,TEV,AiCE,1,10
Four-site,TrpB,Random,10,10
Four-site,TrpB,EVOLVEpro,9,10
Four-site,TrpB,AiCE,8,10
Four-site,TrpB,GreedyWalk,7,10
Four-site,TrpB,AdaLead,6,10
Four-site,TrpB,AlphaVariant,5,10
Four-site,TrpB,CLADE,4,10
Four-site,TrpB,ftMLDE,3,10
Four-site,TrpB,ALDE,2,10
Four-site,TrpB,MULTI-evolve,1,10
Multi-site,AAV,Random,10,10
Multi-site,AAV,EVOLVEpro,9,10
Multi-site,AAV,ALDE,8,10
Multi-site,AAV,CLADE,7,10
Multi-site,AAV,MULTI-evolve,6,10
Multi-site,AAV,AdaLead,5,10
Multi-site,AAV,ftMLDE,4,10
Multi-site,AAV,GreedyWalk,3,10
Multi-site,AAV,AiCE,2,10
Multi-site,AAV,AlphaVariant,1,10
Multi-site,CreiLOV,Random,10,10
Multi-site,CreiLOV,ALDE,9,10
Multi-site,CreiLOV,EVOLVEpro,8,10
Multi-site,CreiLOV,AiCE,7,10
Multi-site,CreiLOV,MULTI-evolve,6,10
Multi-site,CreiLOV,GreedyWalk,5,10
Multi-site,CreiLOV,CLADE,4,10
Multi-site,CreiLOV,ftMLDE,3,10
Multi-site,CreiLOV,AdaLead,2,10
Multi-site,CreiLOV,AlphaVariant,1,10
Multi-site,GFP,ALDE,9,9
Multi-site,GFP,CLADE,8,9
Multi-site,GFP,ftMLDE,7,9
Multi-site,GFP,MULTI-evolve,6,9
Multi-site,GFP,EVOLVEpro,5,9
Multi-site,GFP,Random,4,9
Multi-site,GFP,GreedyWalk,3,9
Multi-site,GFP,AlphaVariant,2,9
Multi-site,GFP,AiCE,1,9
Multi-site,PAB1,Random,10,10
Multi-site,PAB1,AiCE,9,10
Multi-site,PAB1,CLADE,8,10
Multi-site,PAB1,ALDE,7,10
Multi-site,PAB1,EVOLVEpro,6,10
Multi-site,PAB1,MULTI-evolve,5,10
Multi-site,PAB1,GreedyWalk,4,10
Multi-site,PAB1,ftMLDE,3,10
Multi-site,PAB1,AdaLead,2,10
Multi-site,PAB1,AlphaVariant,1,10
