dataset,seed,round,fitness
AAV,100,1,0.7084245681755611
AAV,100,2,0.7084245681755611
AAV,100,3,0.7327172756187741
AAV,100,4,0.7327172756187741
AAV,100,5,0.7327172756187741
AAV,137,1,0.7193192243568856
AAV,137,2,0.7193192243568856
AAV,137,3,0.7193192243568856
AAV,137,4,0.7197989821426822
AAV,137,5,0.7197989821426822
AAV,167,1,0.7193192243568856
AAV,167,2,0.7237894535057459
AAV,167,3,0.7237894535057459
AAV,167,4,0.7237894535057459
AAV,167,5,0.7237894535057459
AAV,171,1,0.6665292978280077
AAV,171,2,0.6665292978280077
AAV,171,3,0.6829575896256292
AAV,171,4,0.6829575896256292
AAV,171,5,0.7273659110062001
AAV,194,1,0.6631798744195028
AAV,194,2,0.6631798744195028
AAV,194,3,0.6782377958290946
AAV,194,4,0.7122443914406329
AAV,194,5,0.7122443914406329
AAV,3,1,0.6772688627236269
AAV,3,2,0.6871095299713893
AAV,3,3,0.6887365579598215
AAV,3,4,0.6933075189583521
AAV,3,5,0.7017534375183717
AAV,303,1,0.6346037983888001
AAV,303,2,0.6346037983888001
AAV,303,3,0.6999473571770344
AAV,303,4,0.7138800024979127
AAV,303,5,0.7138800024979127
AAV,331,1,0.6448060870164145
AAV,331,2,0.6448060870164145
AAV,331,3,0.7190309166901073
AAV,331,4,0.7190309166901073
AAV,331,5,0.7221794724457195
AAV,340,1,0.6373769044869725
AAV,340,2,0.6373769044869725
AAV,340,3,0.639127731322603
AAV,340,4,0.6621475815766388
AAV,340,5,0.66990065574579
AAV,383,1,0.6680835485451693
AAV,383,2,0.6680835485451693
AAV,383,3,0.6783238649361503
AAV,383,4,0.6783238649361503
AAV,383,5,0.7013976573937077
AAV,390,1,0.7053861618034938
AAV,390,2,0.7053861618034938
AAV,390,3,0.7404010295860515
AAV,390,4,0.7404010295860515
AAV,390,5,0.7404010295860515
AAV,433,1,0.6570349931710348
AAV,433,2,0.6570349931710348
AAV,433,3,0.682081639766011
AAV,433,4,0.7183553576462237
AAV,433,5,0.7183553576462237
AAV,446,1,0.6744343042366913
AAV,446,2,0.6744343042366913
AAV,446,3,0.6744343042366913
AAV,446,4,0.6744343042366913
AAV,446,5,0.6815763711922505
AAV,477,1,0.6566298007958521
AAV,477,2,0.6566298007958521
AAV,477,3,0.666271090506841
AAV,477,4,0.6946935653679576
AAV,477,5,0.6946935653679576
AAV,492,1,0.6823738813393444
AAV,492,2,0.6823738813393444
AAV,492,3,0.7183553576462237
AAV,492,4,0.7183553576462237
AAV,492,5,0.7254714965813057
AAV,511,1,0.715358972548723
AAV,511,2,0.715358972548723
AAV,511,3,0.715358972548723
AAV,511,4,0.7278701066963545
AAV,511,5,0.7278701066963545
AAV,527,1,0.6670914292328839
AAV,527,2,0.6670914292328839
AAV,527,3,0.6670914292328839
AAV,527,4,0.7011169791214606
AAV,527,5,0.7086823582642143
AAV,531,1,0.6594049930565915
AAV,531,2,0.6594049930565915
AAV,531,3,0.6594049930565915
AAV,531,4,0.6739993095391209
AAV,531,5,0.6739993095391209
AAV,548,1,0.6977499127381023
AAV,548,2,0.6977499127381023
AAV,548,3,0.7048446536057099
AAV,548,4,0.7048446536057099
AAV,548,5,0.7048446536057099
AAV,563,1,0.6820462942116592
AAV,563,2,0.6820462942116592
AAV,563,3,0.6820462942116592
AAV,563,4,0.7038527727120036
AAV,563,5,0.7038527727120036
AAV,590,1,0.7008382081978465
AAV,590,2,0.7008382081978465
AAV,590,3,0.7008382081978465
AAV,590,4,0.727165639399755
AAV,590,5,0.727165639399755
AAV,621,1,0.6790049076073532
AAV,621,2,0.6790049076073532
AAV,621,3,0.6940157413475725
AAV,621,4,0.6940157413475725
AAV,621,5,0.6940157413475725
AAV,652,1,0.6954929828636843
AAV,652,2,0.6954929828636843
AAV,652,3,0.7157515287392134
AAV,652,4,0.725939154624213
AAV,652,5,0.725939154624213
AAV,76,1,0.6743958592408111
AAV,76,2,0.6743958592408111
AAV,76,3,0.6743958592408111
AAV,76,4,0.6785321235649953
AAV,76,5,0.6785321235649953
AAV,77,1,0.6701970696442577
AAV,77,2,0.6701970696442577
AAV,77,3,0.6774926781647582
AAV,77,4,0.6774926781647582
AAV,77,5,0.7090632915489735
AAV,772,1,0.6696956157677628
AAV,772,2,0.6696956157677628
AAV,772,3,0.6696956157677628
AAV,772,4,0.7042579054825415
AAV,772,5,0.7042579054825415
AAV,919,1,0.6516109704964796
AAV,919,2,0.6673695445054055
AAV,919,3,0.6856497526161967
AAV,919,4,0.7128534913055921
AAV,919,5,0.7439222931854438
AAV,926,1,0.6423186659806503
AAV,926,2,0.6423186659806503
AAV,926,3,0.6809483766548976
AAV,926,4,0.6901779770844233
AAV,926,5,0.7226936817161962
AAV,987,1,0.6672695279114725
AAV,987,2,0.6672695279114725
AAV,987,3,0.6672695279114725
AAV,987,4,0.7141078710548888
AAV,987,5,0.7141078710548888
AAV,998,1,0.6830005049698675
AAV,998,2,0.6830005049698675
AAV,998,3,0.6830005049698675
AAV,998,4,0.686987042426376
AAV,998,5,0.6903893351547966
