dataset,round,n,median,q1,q3,min,max
AAV,1,30,0.6723,0.6603,0.6924,0.6346,0.7193
AAV,2,30,0.6723,0.664,0.6934,0.6346,0.7238
AAV,3,30,0.683,0.6752,0.7127,0.6391,0.7404
AAV,4,30,0.7046,0.6878,0.7189,0.6621,0.7404
AAV,5,30,0.7131,0.7015,0.7251,0.6699,0.7439
CreiLOV,1,30,0.8365,0.7928,0.867,0.7289,0.9871
CreiLOV,2,30,0.9427,0.9345,0.9646,0.8878,0.9871
CreiLOV,3,30,0.9725,0.965,0.9871,0.9552,0.9871
CreiLOV,4,30,0.9725,0.9725,0.9871,0.9701,0.9871
CreiLOV,5,30,0.986,0.9725,0.9871,0.9725,0.9871
PAB1,1,30,0.4029,0.3937,0.4163,0.3745,0.4454
PAB1,2,30,0.4579,0.4502,0.4775,0.4105,0.5029
PAB1,3,30,0.5093,0.4941,0.525,0.4422,0.5604
PAB1,4,30,0.5561,0.5426,0.5654,0.4836,0.6061
PAB1,5,30,0.5757,0.5661,0.5971,0.5143,0.6391
