dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
ms_AAV,top128_mean_norm,AlphaVariant,AiCE,0.6489174510345823,0.5974684497341514,0.05144900130043095,1.862645149230957e-08,True
ms_AAV,top128_mean_norm,AlphaVariant,GreedyWalk,0.6489174510345823,0.5678313646931201,0.0810860863414622,9.313225746154785e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,ftMLDE,0.6489174510345823,0.5565305228810757,0.09238692815350658,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,AdaLead,0.6489174510345823,0.5511384254787117,0.09777902555587059,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,MULTIevolve,0.6489174510345823,0.5294380821287632,0.11947936890581912,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,CLADE,0.6489174510345823,0.49763605440966785,0.15128139662491447,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,EVOLVEpro,0.6489174510345823,0.4959830114385113,0.152934439596071,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,ALDE,0.6489174510345823,0.4840748879360035,0.1648425630985788,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AlphaVariant,Random,0.6489174510345823,0.4011584232794121,0.24775902775517022,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AiCE,GreedyWalk,0.5974684497341514,0.5678313646931201,0.02963708504103124,0.0012321043759584427,False
ms_AAV,top128_mean_norm,AiCE,ftMLDE,0.5974684497341514,0.5565305228810757,0.040937926853075624,3.5390257835388184e-08,True
ms_AAV,top128_mean_norm,AiCE,AdaLead,0.5974684497341514,0.5511384254787117,0.04633002425543964,3.5390257835388184e-08,True
ms_AAV,top128_mean_norm,AiCE,MULTIevolve,0.5974684497341514,0.5294380821287632,0.06803036760538816,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AiCE,CLADE,0.5974684497341514,0.49763605440966785,0.09983239532448351,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AiCE,EVOLVEpro,0.5974684497341514,0.4959830114385113,0.10148543829564005,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AiCE,ALDE,0.5974684497341514,0.4840748879360035,0.11339356179814786,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AiCE,Random,0.5974684497341514,0.4011584232794121,0.19631002645473927,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,GreedyWalk,ftMLDE,0.5678313646931201,0.5565305228810757,0.011300841812044382,0.00993151031434536,False
ms_AAV,top128_mean_norm,GreedyWalk,AdaLead,0.5678313646931201,0.5511384254787117,0.016692939214408398,0.022098854184150696,False
ms_AAV,top128_mean_norm,GreedyWalk,MULTIevolve,0.5678313646931201,0.5294380821287632,0.03839328256435692,1.30385160446167e-08,True
ms_AAV,top128_mean_norm,GreedyWalk,CLADE,0.5678313646931201,0.49763605440966785,0.07019531028345227,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,GreedyWalk,EVOLVEpro,0.5678313646931201,0.4959830114385113,0.07184835325460881,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,GreedyWalk,ALDE,0.5678313646931201,0.4840748879360035,0.08375647675711662,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,GreedyWalk,Random,0.5678313646931201,0.4011584232794121,0.16667294141370803,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,ftMLDE,AdaLead,0.5565305228810757,0.5511384254787117,0.005392097402364016,0.9032264724373817,False
ms_AAV,top128_mean_norm,ftMLDE,MULTIevolve,0.5565305228810757,0.5294380821287632,0.02709244075231254,5.718320608139038e-07,True
ms_AAV,top128_mean_norm,ftMLDE,CLADE,0.5565305228810757,0.49763605440966785,0.05889446847140789,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,ftMLDE,EVOLVEpro,0.5565305228810757,0.4959830114385113,0.06054751144256443,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,ftMLDE,ALDE,0.5565305228810757,0.4840748879360035,0.07245563494507223,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,ftMLDE,Random,0.5565305228810757,0.4011584232794121,0.15537209960166365,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AdaLead,MULTIevolve,0.5511384254787117,0.5294380821287632,0.021700343349948525,1.991167664527893e-06,True
ms_AAV,top128_mean_norm,AdaLead,CLADE,0.5511384254787117,0.49763605440966785,0.053502371069043875,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AdaLead,EVOLVEpro,0.5511384254787117,0.4959830114385113,0.05515541404020041,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AdaLead,ALDE,0.5511384254787117,0.4840748879360035,0.06706353754270822,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,AdaLead,Random,0.5511384254787117,0.4011584232794121,0.14998000219929963,1.862645149230957e-09,True
ms_AAV,top128_mean_norm,MULTIevolve,CLADE,0.5294380821287632,0.49763605440966785,0.03180202771909535,9.313225746154785e-09,True
ms_AAV,top128_mean_norm,MULTIevolve,EVOLVEpro,0.5294380821287632,0.4959830114385113,0.03345507069025189,6.146728992462158e-08,True
ms_AAV,top128_mean_norm,MULTIevolve,ALDE,0.5294380821287632,0.4840748879360035,0.04536319419275969,3.725290298461914e-09,True
