dataset,method,max_fitness_median,max_fitness_q1,max_fitness_q3,top128_median,top128_q1,top128_q3,n
4site_TEV,Random,0.432,0.3208,0.4957,0.4719,0.4705,0.4726,30
4site_TEV,GreedyWalk,0.4168,0.3682,0.5143,0.4781,0.4744,0.519,30
4site_TEV,ALDE,0.47,0.3788,0.6819,0.4928,0.4852,0.5843,30
4site_TEV,FLEXS,0.3882,0.3682,0.5051,0.4843,0.4784,0.6108,30
4site_TEV,AiCE,0.664,0.664,0.664,0.5903,0.5788,0.5968,30
4site_TEV,ftMLDE,0.3775,0.3685,0.4442,0.5979,0.4849,0.6179,30
4site_TEV,CLADE,0.3826,0.3668,0.421,0.5981,0.5147,0.6121,30
4site_TEV,delta_cs,0.3011,0.2064,0.456,0.4988,0.4905,0.5382,30
4site_TEV,AlphaVariant,0.3801,0.3582,0.4475,0.5511,0.4991,0.5829,30
4site_TEV,EVOLVEpro,0.655,0.637,0.6837,0.0278,0.0257,0.0328,30
4site_TEV,MULTIevolve,0.4239,0.3296,0.5166,0.0295,0.027,0.0319,29
4site_GB1,Random,0.4716,0.4081,0.5616,0.0024,0.0022,0.0027,30
4site_GB1,GreedyWalk,0.8346,0.7077,1.0,0.2636,0.1879,0.3083,30
4site_GB1,ALDE,1.0,0.8623,1.0,0.5394,0.5089,0.5511,30
4site_GB1,FLEXS,0.8623,0.7974,1.0,0.417,0.3723,0.459,30
4site_GB1,AiCE,0.4745,0.4745,0.522,0.1234,0.0476,0.1286,30
4site_GB1,ftMLDE,0.8622,0.8346,1.0,0.4576,0.4223,0.474,30
4site_GB1,CLADE,0.8346,0.8265,1.0,0.4143,0.3502,0.45,30
4site_GB1,delta_cs,0.3607,0.2395,0.4602,0.3205,0.221,0.4602,30
4site_GB1,AlphaVariant,1.0,0.8415,1.0,0.4699,0.4085,0.4949,30
4site_GB1,EVOLVEpro,0.4984,0.4459,0.5582,0.0228,0.0212,0.0265,30
4site_GB1,MULTIevolve,0.8622,0.785,1.0,0.44,0.3796,0.4854,30
4site_PhoQ,Random,0.1937,0.1781,0.2678,0.0006,0.0005,0.0007,30
4site_PhoQ,GreedyWalk,0.342,0.275,0.4717,0.0396,0.0281,0.059,30
4site_PhoQ,ALDE,0.4554,0.4001,0.5811,0.1221,0.1109,0.1268,30
4site_PhoQ,FLEXS,0.4281,0.2952,0.5322,0.1001,0.0813,0.108,30
4site_PhoQ,AiCE,0.3257,0.1875,0.3633,0.0618,0.0571,0.0633,30
4site_PhoQ,ftMLDE,0.479,0.4038,0.6578,0.118,0.1078,0.1251,30
4site_PhoQ,CLADE,0.4069,0.286,0.4746,0.0983,0.087,0.1161,30
4site_PhoQ,delta_cs,0.0949,0.0533,0.1193,0.0766,0.0356,0.1142,30
4site_PhoQ,AlphaVariant,0.5256,0.3975,0.6167,0.1183,0.1068,0.1265,30
4site_PhoQ,EVOLVEpro,0.2005,0.1667,0.2854,0.0447,0.0406,0.0485,30
4site_PhoQ,MULTIevolve,0.5474,0.4322,0.6578,0.1264,0.1181,0.1377,29
4site_TRPB,Random,0.61,0.5747,0.633,0.0356,0.0343,0.0372,30
4site_TRPB,GreedyWalk,0.7529,0.6736,0.932,0.2973,0.2323,0.3782,30
4site_TRPB,ALDE,0.932,0.7987,1.0,0.6096,0.5593,0.6556,30
4site_TRPB,FLEXS,0.8135,0.7529,1.0,0.5478,0.5214,0.5785,30
4site_TRPB,AiCE,0.6655,0.6098,0.7903,0.085,0.0768,0.1064,30
4site_TRPB,ftMLDE,0.8705,0.7529,1.0,0.5856,0.5496,0.637,30
4site_TRPB,CLADE,0.841,0.7501,1.0,0.5405,0.4872,0.5891,30
4site_TRPB,delta_cs,0.6282,0.5294,0.6975,0.5397,0.2779,0.6523,30
4site_TRPB,AlphaVariant,0.8326,0.7699,0.932,0.5483,0.504,0.5842,30
4site_TRPB,EVOLVEpro,0.6221,0.5353,0.6841,0.036,0.0346,0.0373,30
4site_TRPB,MULTIevolve,0.932,0.7987,1.0,0.5767,0.5431,0.6277,30
