dataset,method,max_fitness_median,max_fitness_q1,max_fitness_q3,top128_median,top128_q1,top128_q3,n
4site_TEV,Random,0.432,0.3208,0.4957,0.4719,0.4705,0.4726,30
4site_TEV,GreedyWalk,0.4168,0.3682,0.5143,0.4781,0.4744,0.519,30
4site_TEV,ALDE,0.47,0.3788,0.6819,0.4928,0.4852,0.5843,30
4site_TEV,FLEXS,0.3882,0.3682,0.5051,0.4843,0.4784,0.6108,30
4site_TEV,AiCE,0.664,0.664,0.664,0.5903,0.5788,0.5968,30
4site_TEV,ftMLDE,0.3775,0.3685,0.4442,0.5979,0.4849,0.6179,30
4site_TEV,CLADE,0.3826,0.3668,0.421,0.5981,0.5147,0.6121,30
4site_TEV,delta_cs,0.3011,0.2064,0.456,0.4988,0.4905,0.5382,30
4site_TEV,AlphaVariant,0.3834,0.3667,0.4543,0.4843,0.478,0.5036,30
4site_TEV,AlphaVariant_base,0.3702,0.3586,0.433,0.5215,0.4909,0.5687,30
4site_TEV,AlphaVariant_PLM,0.3835,0.3685,0.4645,0.563,0.5002,0.5961,30
4site_TEV,AlphaVariant_Hybrid,0.3702,0.3517,0.4484,0.5011,0.4796,0.5293,30
4site_GB1,Random,0.4716,0.4081,0.5616,0.0024,0.0022,0.0027,30
4site_GB1,GreedyWalk,0.8346,0.7077,1.0,0.2636,0.1879,0.3083,30
4site_GB1,ALDE,1.0,0.8623,1.0,0.5394,0.5089,0.5511,30
4site_GB1,FLEXS,0.8623,0.7974,1.0,0.417,0.3723,0.459,30
4site_GB1,AiCE,0.4745,0.4745,0.522,0.1234,0.0476,0.1286,30
4site_GB1,ftMLDE,0.8622,0.8346,1.0,0.4576,0.4223,0.474,30
4site_GB1,CLADE,0.8346,0.8265,1.0,0.4143,0.3502,0.45,30
4site_GB1,delta_cs,0.3607,0.2395,0.4602,0.3205,0.221,0.4602,30
4site_GB1,AlphaVariant,1.0,0.832,1.0,0.4519,0.4117,0.4966,30
4site_GB1,AlphaVariant_base,1.0,0.8311,1.0,0.4428,0.4164,0.4739,30
4site_GB1,AlphaVariant_PLM,1.0,0.8311,1.0,0.4446,0.4102,0.4934,30
4site_PhoQ,Random,0.1937,0.1781,0.2678,0.0006,0.0005,0.0007,30
4site_PhoQ,GreedyWalk,0.342,0.275,0.4717,0.0396,0.0281,0.059,30
4site_PhoQ,ALDE,0.4554,0.4001,0.5811,0.1221,0.1109,0.1268,30
4site_PhoQ,FLEXS,0.4281,0.2952,0.5322,0.1001,0.0813,0.108,30
4site_PhoQ,AiCE,0.3257,0.1875,0.3633,0.0618,0.0571,0.0633,30
4site_PhoQ,ftMLDE,0.479,0.4038,0.6578,0.118,0.1078,0.1251,30
4site_PhoQ,CLADE,0.4069,0.286,0.4746,0.0983,0.087,0.1161,30
4site_PhoQ,delta_cs,0.0949,0.0533,0.1193,0.0766,0.0356,0.1142,30
4site_PhoQ,AlphaVariant,0.4503,0.3437,0.5321,0.1201,0.1089,0.1264,30
4site_PhoQ,AlphaVariant_base,0.4636,0.309,0.5811,0.1045,0.0916,0.1166,30
4site_PhoQ,AlphaVariant_PLM,0.3943,0.3106,0.4677,0.1066,0.0978,0.1139,30
4site_TRPB,Random,0.61,0.5747,0.633,0.0356,0.0343,0.0372,30
4site_TRPB,GreedyWalk,0.7529,0.6736,0.932,0.2973,0.2323,0.3782,30
4site_TRPB,ALDE,0.932,0.7987,1.0,0.6096,0.5593,0.6556,30
4site_TRPB,FLEXS,0.8135,0.7529,1.0,0.5478,0.5214,0.5785,30
4site_TRPB,AiCE,0.6655,0.6098,0.7903,0.085,0.0768,0.1064,30
4site_TRPB,ftMLDE,0.8705,0.7529,1.0,0.5856,0.5496,0.637,30
4site_TRPB,CLADE,0.841,0.7501,1.0,0.5405,0.4872,0.5891,30
4site_TRPB,delta_cs,0.6282,0.5294,0.6975,0.5397,0.2779,0.6523,30
4site_TRPB,AlphaVariant,0.9226,0.7604,1.0,0.5543,0.5232,0.5926,30
4site_TRPB,AlphaVariant_base,0.8842,0.7846,1.0,0.5656,0.5199,0.6135,30
4site_TRPB,AlphaVariant_PLM,0.8575,0.7987,1.0,0.5562,0.5136,0.59,30
4site_TRPB,AlphaVariant_Hybrid,0.932,0.8005,1.0,0.5601,0.5289,0.5841,30
