dataset,method,max_fitness,max_fitness_std,top128_mean_fitness,top128_std,n
4site_TEV,Random,0.4258,0.1223,0.4718,0.0015,30
4site_TEV,GreedyWalk,0.4541,0.1348,0.4948,0.0282,30
4site_TEV,ALDE,0.5468,0.1975,0.528,0.0537,30
4site_TEV,FLEXS,0.4611,0.1473,0.5246,0.0636,30
4site_TEV,AiCE,0.6662,0.0093,0.5887,0.012,30
4site_TEV,ftMLDE,0.4401,0.1478,0.5577,0.0625,30
4site_TEV,CLADE,0.4197,0.1042,0.5664,0.0546,30
4site_TEV,delta_cs,0.3644,0.2153,0.5201,0.0409,30
4site_TEV,AlphaVariant_base,0.4121,0.0984,0.5289,0.0424,30
4site_TEV,AlphaVariant,0.4331,0.1371,0.4973,0.0309,30
4site_TEV,AlphaVariant_PLM,0.4496,0.1458,0.5484,0.0501,30
4site_TEV,AlphaVariant_Hybrid,0.4065,0.106,0.5058,0.0296,30
4site_GB1,Random,0.4966,0.1212,0.0026,0.0005,30
4site_GB1,GreedyWalk,0.8293,0.1431,0.247,0.0893,30
4site_GB1,ALDE,0.9156,0.1089,0.5158,0.0567,30
4site_GB1,FLEXS,0.877,0.132,0.4075,0.0575,30
4site_GB1,AiCE,0.5072,0.0697,0.0995,0.0399,30
4site_GB1,ftMLDE,0.8741,0.1012,0.4499,0.0482,30
4site_GB1,CLADE,0.8511,0.1207,0.4031,0.0544,30
4site_GB1,delta_cs,0.3528,0.1798,0.3387,0.1902,30
4site_GB1,AlphaVariant_base,0.9085,0.1226,0.4395,0.0509,30
4site_GB1,AlphaVariant,0.9042,0.1211,0.4429,0.0599,30
4site_GB1,AlphaVariant_PLM,0.9203,0.0962,0.4432,0.0597,30
4site_PhoQ,Random,0.2435,0.1068,0.0006,0.0002,30
4site_PhoQ,GreedyWalk,0.4041,0.197,0.0425,0.0219,30
4site_PhoQ,ALDE,0.5245,0.2129,0.1201,0.0124,30
4site_PhoQ,FLEXS,0.4531,0.1986,0.0972,0.0173,30
4site_PhoQ,AiCE,0.2944,0.091,0.0605,0.0047,30
4site_PhoQ,ftMLDE,0.5548,0.233,0.1161,0.0142,30
4site_PhoQ,CLADE,0.4404,0.2163,0.0984,0.0199,30
4site_PhoQ,delta_cs,0.1015,0.087,0.0909,0.0911,30
4site_PhoQ,AlphaVariant_base,0.4999,0.2318,0.1022,0.0208,30
4site_PhoQ,AlphaVariant,0.5214,0.2579,0.1157,0.0182,30
4site_PhoQ,AlphaVariant_PLM,0.3987,0.1164,0.1053,0.0171,30
4site_TRPB,Random,0.611,0.0942,0.0359,0.0023,30
4site_TRPB,GreedyWalk,0.7944,0.1293,0.3051,0.0925,30
4site_TRPB,ALDE,0.9004,0.1068,0.6095,0.0525,30
4site_TRPB,FLEXS,0.8531,0.1144,0.5515,0.0381,30
4site_TRPB,AiCE,0.7011,0.0945,0.0914,0.023,30
4site_TRPB,ftMLDE,0.8648,0.1246,0.5835,0.0617,30
4site_TRPB,CLADE,0.8538,0.1253,0.529,0.0844,30
4site_TRPB,delta_cs,0.5632,0.2458,0.4422,0.24,30
4site_TRPB,AlphaVariant_base,0.8822,0.1011,0.5618,0.0571,30
4site_TRPB,AlphaVariant,0.8783,0.1161,0.5478,0.0569,30
4site_TRPB,AlphaVariant_PLM,0.8699,0.1106,0.5454,0.0604,30
4site_TRPB,AlphaVariant_Hybrid,0.9017,0.096,0.5454,0.0622,30
