method,4site_GB1,4site_PhoQ,4site_TRPB,Mean rank,Mean score
ALDE,1.5,4.0,1.5,2.3333333333333335,0.7958
MULTIevolve,4.5,1.0,1.5,2.3333333333333335,0.7704
AlphaVariant,1.5,3.0,5.0,3.1666666666666665,0.7653666666666666
ftMLDE,4.5,2.0,3.0,3.1666666666666665,0.7372333333333333
AdaLead,3.0,5.0,6.0,4.666666666666667,0.7012999999999999
CLADE,6.5,6.0,4.0,5.5,0.6941666666666667
GreedyWalk,6.5,7.0,7.0,6.833333333333333,0.6431666666666667
AiCE,9.0,8.0,8.0,8.333333333333334,0.48856666666666665
EVOLVEpro,8.0,9.0,9.0,8.666666666666666,0.4403333333333333
Random,10.0,10.0,10.0,10.0,0.42510000000000003
