method,4site_GB1,4site_PhoQ,4site_TRPB,Mean rank,Mean score
ALDE,1.0,2.0,1.0,1.3333333333333333,0.4237
AlphaVariant,2.0,3.0,3.0,2.6666666666666665,0.38809999999999995
ftMLDE,3.0,4.0,2.0,3.0,0.38706666666666667
MULTIevolve,4.0,1.0,4.0,3.0,0.381
AdaLead,5.0,5.0,5.0,5.0,0.35496666666666665
CLADE,6.0,6.0,6.0,6.0,0.3510333333333333
GreedyWalk,7.0,9.0,7.0,7.666666666666667,0.2001666666666667
AiCE,8.0,7.0,8.0,7.666666666666667,0.09006666666666667
EVOLVEpro,9.0,8.0,9.0,8.666666666666666,0.034499999999999996
Random,10.0,10.0,10.0,10.0,0.012866666666666667
