metric,method,4site_GB1,4site_PhoQ,4site_TRPB,Mean rank,Mean score
Max fitness,ALDE,1.5,4.0,1.5,2.3333333333333335,0.7958
Max fitness,MULTIevolve,4.5,1.0,1.5,2.3333333333333335,0.7704
Max fitness,AlphaVariant,1.5,3.0,5.0,3.1666666666666665,0.7653666666666666
Max fitness,ftMLDE,4.5,2.0,3.0,3.1666666666666665,0.7372333333333333
Max fitness,AdaLead,3.0,5.0,6.0,4.666666666666667,0.7012999999999999
Max fitness,CLADE,6.5,6.0,4.0,5.5,0.6941666666666667
Max fitness,GreedyWalk,6.5,7.0,7.0,6.833333333333333,0.6431666666666667
Max fitness,AiCE,9.0,8.0,8.0,8.333333333333334,0.48856666666666665
Max fitness,EVOLVEpro,8.0,9.0,9.0,8.666666666666666,0.4403333333333333
Max fitness,Random,10.0,10.0,10.0,10.0,0.42510000000000003
Top-128 fitness,ALDE,1.0,2.0,1.0,1.3333333333333333,0.4237
Top-128 fitness,AlphaVariant,2.0,3.0,3.0,2.6666666666666665,0.38809999999999995
Top-128 fitness,ftMLDE,3.0,4.0,2.0,3.0,0.38706666666666667
Top-128 fitness,MULTIevolve,4.0,1.0,4.0,3.0,0.381
Top-128 fitness,AdaLead,5.0,5.0,5.0,5.0,0.35496666666666665
Top-128 fitness,CLADE,6.0,6.0,6.0,6.0,0.3510333333333333
Top-128 fitness,GreedyWalk,7.0,9.0,7.0,7.666666666666667,0.2001666666666667
Top-128 fitness,AiCE,8.0,7.0,8.0,7.666666666666667,0.09006666666666667
Top-128 fitness,EVOLVEpro,9.0,8.0,9.0,8.666666666666666,0.034499999999999996
Top-128 fitness,Random,10.0,10.0,10.0,10.0,0.012866666666666667
