group,method,4site_GB1,4site_PhoQ,4site_TRPB,Mean rank,Mean score,ms_AAV,ms_CreiLOV,ms_PAB1
Four-site,ALDE,1.5,4.0,1.5,2.3333333333333335,0.7958,,,
Four-site,MULTIevolve,4.5,1.0,1.5,2.3333333333333335,0.7704,,,
Four-site,AlphaVariant,1.5,3.0,5.0,3.1666666666666665,0.7653666666666666,,,
Four-site,ftMLDE,4.5,2.0,3.0,3.1666666666666665,0.7372333333333333,,,
Four-site,AdaLead,3.0,5.0,6.0,4.666666666666667,0.7012999999999999,,,
Four-site,CLADE,6.5,6.0,4.0,5.5,0.6941666666666667,,,
Four-site,GreedyWalk,6.5,7.0,7.0,6.833333333333333,0.6431666666666667,,,
Four-site,AiCE,9.0,8.0,8.0,8.333333333333334,0.48856666666666665,,,
Four-site,EVOLVEpro,8.0,9.0,9.0,8.666666666666666,0.4403333333333333,,,
Four-site,Random,10.0,10.0,10.0,10.0,0.42510000000000003,,,
Multisite,AlphaVariant,,,,1.0,0.75824395623196,1.0,1.0,1.0
Multisite,AdaLead,,,,3.0,0.7147084275881449,5.0,2.0,2.0
Multisite,ftMLDE,,,,3.3333333333333335,0.7054702043533325,4.0,3.0,3.0
Multisite,GreedyWalk,,,,4.0,0.7032362123330435,3.0,5.0,4.0
Multisite,AiCE,,,,5.333333333333333,0.6872726480166117,2.0,7.0,7.0
Multisite,MULTIevolve,,,,5.666666666666667,0.6826876600583395,6.0,6.0,5.0
Multisite,CLADE,,,,6.333333333333333,0.673232302069664,7.0,4.0,8.0
Multisite,EVOLVEpro,,,,7.666666666666667,0.6672625740369161,9.0,8.0,6.0
Multisite,ALDE,,,,8.666666666666666,0.655935267607371,8.0,9.0,9.0
Multisite,Random,,,,10.0,0.6200179407993952,10.0,10.0,10.0
