method,ms_AAV,ms_CreiLOV,ms_PAB1,Mean rank,Mean score
AlphaVariant,1.0,1.0,1.0,1.0,0.75824395623196
AdaLead,5.0,2.0,2.0,3.0,0.7147084275881449
ftMLDE,4.0,3.0,3.0,3.3333333333333335,0.7054702043533325
GreedyWalk,3.0,5.0,4.0,4.0,0.7032362123330435
AiCE,2.0,7.0,7.0,5.333333333333333,0.6872726480166117
MULTIevolve,6.0,6.0,5.0,5.666666666666667,0.6826876600583395
CLADE,7.0,4.0,8.0,6.333333333333333,0.673232302069664
EVOLVEpro,9.0,8.0,6.0,7.666666666666667,0.6672625740369161
ALDE,8.0,9.0,9.0,8.666666666666666,0.655935267607371
Random,10.0,10.0,10.0,10.0,0.6200179407993952
