method,ms_AAV,ms_CreiLOV,ms_PAB1,Mean rank,Mean score
AlphaVariant,1.0,3.0,1.0,1.6666666666666667,0.6841493202110008
AdaLead,5.0,1.0,2.0,2.6666666666666665,0.6630951202629755
ftMLDE,4.0,2.0,3.0,3.0,0.6576588061482956
GreedyWalk,3.0,4.0,4.0,3.6666666666666665,0.6447370850558704
MULTIevolve,6.0,5.0,5.0,5.333333333333333,0.6275871748415133
AiCE,2.0,9.0,7.0,6.0,0.6335194928493971
CLADE,7.0,6.0,8.0,7.0,0.5971659470039109
EVOLVEpro,8.0,8.0,6.0,7.333333333333333,0.6044405251353359
ALDE,9.0,7.0,9.0,8.333333333333334,0.5797195546329021
Random,10.0,10.0,10.0,10.0,0.4857750768618037
