metric,method,ms_AAV,ms_CreiLOV,ms_PAB1,Mean rank,Mean score
Max fitness,AlphaVariant,1.0,1.0,1.0,1.0,0.75824395623196
Max fitness,AdaLead,5.0,2.0,2.0,3.0,0.7147084275881449
Max fitness,ftMLDE,4.0,3.0,3.0,3.3333333333333335,0.7054702043533325
Max fitness,GreedyWalk,3.0,5.0,4.0,4.0,0.7032362123330435
Max fitness,AiCE,2.0,7.0,7.0,5.333333333333333,0.6872726480166117
Max fitness,MULTIevolve,6.0,6.0,5.0,5.666666666666667,0.6826876600583395
Max fitness,CLADE,7.0,4.0,8.0,6.333333333333333,0.673232302069664
Max fitness,EVOLVEpro,9.0,8.0,6.0,7.666666666666667,0.6672625740369161
Max fitness,ALDE,8.0,9.0,9.0,8.666666666666666,0.655935267607371
Max fitness,Random,10.0,10.0,10.0,10.0,0.6200179407993952
Top-128 fitness,AlphaVariant,1.0,3.0,1.0,1.6666666666666667,0.6841493202110008
Top-128 fitness,AdaLead,5.0,1.0,2.0,2.6666666666666665,0.6630951202629755
Top-128 fitness,ftMLDE,4.0,2.0,3.0,3.0,0.6576588061482956
Top-128 fitness,GreedyWalk,3.0,4.0,4.0,3.6666666666666665,0.6447370850558704
Top-128 fitness,MULTIevolve,6.0,5.0,5.0,5.333333333333333,0.6275871748415133
Top-128 fitness,AiCE,2.0,9.0,7.0,6.0,0.6335194928493971
Top-128 fitness,CLADE,7.0,6.0,8.0,7.0,0.5971659470039109
Top-128 fitness,EVOLVEpro,8.0,8.0,6.0,7.333333333333333,0.6044405251353359
Top-128 fitness,ALDE,9.0,7.0,9.0,8.333333333333334,0.5797195546329021
Top-128 fitness,Random,10.0,10.0,10.0,10.0,0.4857750768618037
