group,method,4site_GB1,4site_PhoQ,4site_TRPB,Mean rank,Mean score,ms_AAV,ms_CreiLOV,ms_PAB1
Four-site,ALDE,1.0,2.0,1.0,1.3333333333333333,0.4237,,,
Four-site,AlphaVariant,2.0,3.0,3.0,2.6666666666666665,0.38809999999999995,,,
Four-site,ftMLDE,3.0,4.0,2.0,3.0,0.38706666666666667,,,
Four-site,MULTIevolve,4.0,1.0,4.0,3.0,0.381,,,
Four-site,AdaLead,5.0,5.0,5.0,5.0,0.35496666666666665,,,
Four-site,CLADE,6.0,6.0,6.0,6.0,0.3510333333333333,,,
Four-site,GreedyWalk,7.0,9.0,7.0,7.666666666666667,0.2001666666666667,,,
Four-site,AiCE,8.0,7.0,8.0,7.666666666666667,0.09006666666666667,,,
Four-site,EVOLVEpro,9.0,8.0,9.0,8.666666666666666,0.034499999999999996,,,
Four-site,Random,10.0,10.0,10.0,10.0,0.012866666666666667,,,
Multisite,AlphaVariant,,,,1.6666666666666667,0.6841493202110008,1.0,3.0,1.0
Multisite,AdaLead,,,,2.6666666666666665,0.6630951202629755,5.0,1.0,2.0
Multisite,ftMLDE,,,,3.0,0.6576588061482956,4.0,2.0,3.0
Multisite,GreedyWalk,,,,3.6666666666666665,0.6447370850558704,3.0,4.0,4.0
Multisite,MULTIevolve,,,,5.333333333333333,0.6275871748415133,6.0,5.0,5.0
Multisite,AiCE,,,,6.0,0.6335194928493971,2.0,9.0,7.0
Multisite,CLADE,,,,7.0,0.5971659470039109,7.0,6.0,8.0
Multisite,EVOLVEpro,,,,7.333333333333333,0.6044405251353359,8.0,8.0,6.0
Multisite,ALDE,,,,8.333333333333334,0.5797195546329021,9.0,7.0,9.0
Multisite,Random,,,,10.0,0.4857750768618037,10.0,10.0,10.0
