metric,dataset,config,n,median,q1,q3
max_fitness,4site_GB1,gb1_full,30,0.862337,0.825004,1.000000
max_fitness,4site_GB1,gb1_no_mcreward,30,1.000000,0.834591,1.000000
max_fitness,4site_GB1,gb1_no_shap,30,0.832860,0.787928,1.000000
max_fitness,4site_GB1,gb1_bare,30,0.959095,0.794984,1.000000
max_fitness,4site_PhoQ,phoq_full,30,0.358738,0.285736,0.442992
max_fitness,4site_PhoQ,phoq_no_mcreward,30,0.454109,0.310916,0.572664
max_fitness,4site_PhoQ,phoq_no_shap,30,0.385870,0.291495,0.455043
max_fitness,4site_PhoQ,phoq_bare,30,0.471771,0.325524,0.572664
max_fitness,4site_TRPB,trpb_full,30,0.817989,0.731563,0.909769
max_fitness,4site_TRPB,trpb_no_mcreward,30,0.816524,0.747830,0.915706
max_fitness,4site_TRPB,trpb_no_shap,30,0.832570,0.792864,0.906114
max_fitness,4site_TRPB,trpb_bare,30,0.832570,0.794516,0.932034
max_fitness,ms_CreiLOV,cre_full,30,0.987120,0.972528,0.987120
max_fitness,ms_CreiLOV,cre_no_ev,30,0.972528,0.972528,0.987120
max_fitness,ms_CreiLOV,cre_no_shap,30,0.979824,0.972528,0.987120
max_fitness,ms_CreiLOV,cre_no_cap,30,0.972528,0.972528,0.982422
max_fitness,ms_CreiLOV,cre_no_prior,30,0.987120,0.987120,0.987120
max_fitness,ms_AAV,aav_full,30,0.710672,0.695111,0.725895
max_fitness,ms_AAV,aav_no_ev,30,0.712847,0.696035,0.724008
max_fitness,ms_AAV,aav_no_shap,30,0.710097,0.696027,0.722877
max_fitness,ms_AAV,aav_no_cap,30,0.672296,0.660349,0.692370
max_fitness,ms_AAV,aav_no_prior,30,0.718484,0.710794,0.731416
max_fitness,ms_PAB1,pab1_full,10,0.587211,0.577684,0.593993
max_fitness,ms_PAB1,pab1_no_ev,10,0.548645,0.537495,0.562688
max_fitness,ms_PAB1,pab1_no_shap,10,0.586166,0.564934,0.597268
max_fitness,ms_PAB1,pab1_no_cap,10,0.402979,0.388758,0.418490
max_fitness,ms_PAB1,pab1_no_prior,10,0.583750,0.563082,0.600168
top128,4site_GB1,gb1_full,30,0.362416,0.265704,0.414830
top128,4site_GB1,gb1_no_mcreward,30,0.458802,0.404896,0.482111
top128,4site_GB1,gb1_no_shap,30,0.364788,0.265215,0.407276
top128,4site_GB1,gb1_bare,30,0.418240,0.386501,0.461355
top128,4site_PhoQ,phoq_full,30,0.095828,0.080618,0.104029
top128,4site_PhoQ,phoq_no_mcreward,30,0.122427,0.094361,0.134391
top128,4site_PhoQ,phoq_no_shap,30,0.095114,0.084566,0.106508
top128,4site_PhoQ,phoq_bare,30,0.120223,0.092279,0.126710
top128,4site_TRPB,trpb_full,30,0.414872,0.346617,0.460629
top128,4site_TRPB,trpb_no_mcreward,30,0.541357,0.504580,0.584068
top128,4site_TRPB,trpb_no_shap,30,0.395255,0.348148,0.443927
top128,4site_TRPB,trpb_bare,30,0.555506,0.494207,0.584095
top128,ms_CreiLOV,cre_full,30,0.899181,0.894953,0.908206
top128,ms_CreiLOV,cre_no_ev,30,0.899262,0.894782,0.906107
top128,ms_CreiLOV,cre_no_shap,30,0.896561,0.892038,0.905121
top128,ms_CreiLOV,cre_no_cap,30,0.914060,0.912966,0.915325
top128,ms_CreiLOV,cre_no_prior,30,0.911944,0.905112,0.915221
top128,ms_AAV,aav_full,30,0.648797,0.637446,0.654852
top128,ms_AAV,aav_no_ev,30,0.642383,0.626858,0.657563
top128,ms_AAV,aav_no_shap,30,0.648664,0.640402,0.661993
top128,ms_AAV,aav_no_cap,30,0.395330,0.389858,0.409908
top128,ms_AAV,aav_no_prior,30,0.644569,0.635622,0.664984
top128,ms_PAB1,pab1_full,10,0.513153,0.503398,0.518820
top128,ms_PAB1,pab1_no_ev,10,0.452974,0.442616,0.476477
top128,ms_PAB1,pab1_no_shap,10,0.499821,0.489569,0.509063
top128,ms_PAB1,pab1_no_cap,10,0.121875,0.117037,0.137396
top128,ms_PAB1,pab1_no_prior,10,0.502512,0.494269,0.530571
