dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
4site_GB1,max_fitness,ALDE,AlphaVariant,1.0,0.9999999607063074,3.929369263300231e-08,0.3168986866107165,False
4site_GB1,max_fitness,ALDE,FLEXS,1.0,0.8623368473827678,0.13766315261723217,0.08879290471450653,False
4site_GB1,max_fitness,ALDE,ftMLDE,1.0,0.8622110018596997,0.13778899814030032,0.12385196277473408,False
4site_GB1,max_fitness,ALDE,MULTIevolve,1.0,0.8622110018596997,0.13778899814030032,0.026070381549149157,False
4site_GB1,max_fitness,ALDE,GreedyWalk,1.0,0.8345908537149408,0.1654091462850592,0.022154491809570045,False
4site_GB1,max_fitness,ALDE,CLADE,1.0,0.8345908537149408,0.1654091462850592,0.01907923775416551,False
4site_GB1,max_fitness,ALDE,EVOLVEpro,1.0,0.49837728503583734,0.5016227149641627,5.587935447692871e-09,True
4site_GB1,max_fitness,ALDE,AiCE,1.0,0.4745491238749977,0.5254508761250023,1.6890670049981201e-06,True
4site_GB1,max_fitness,ALDE,Random,1.0,0.4716342609579813,0.5283657390420187,5.587935447692871e-09,True
4site_GB1,max_fitness,AlphaVariant,FLEXS,0.9999999607063074,0.8623368473827678,0.13766311332353953,0.45497117289876543,False
4site_GB1,max_fitness,AlphaVariant,ftMLDE,0.9999999607063074,0.8622110018596997,0.1377889588466077,0.22015345723847668,False
4site_GB1,max_fitness,AlphaVariant,MULTIevolve,0.9999999607063074,0.8622110018596997,0.1377889588466077,0.452064199073108,False
4site_GB1,max_fitness,AlphaVariant,GreedyWalk,0.9999999607063074,0.8345908537149408,0.16540910699136657,0.04708582950457989,False
4site_GB1,max_fitness,AlphaVariant,CLADE,0.9999999607063074,0.8345908537149408,0.16540910699136657,0.21294627515560105,False
4site_GB1,max_fitness,AlphaVariant,EVOLVEpro,0.9999999607063074,0.49837728503583734,0.50162267567047,1.862645149230957e-09,True
4site_GB1,max_fitness,AlphaVariant,AiCE,0.9999999607063074,0.4745491238749977,0.5254508368313097,1.900634232950599e-06,True
4site_GB1,max_fitness,AlphaVariant,Random,0.9999999607063074,0.4716342609579813,0.5283656997483261,1.862645149230957e-09,True
4site_GB1,max_fitness,FLEXS,ftMLDE,0.8623368473827678,0.8622110018596997,0.00012584552306815766,0.5850558459196289,False
4site_GB1,max_fitness,FLEXS,MULTIevolve,0.8623368473827678,0.8622110018596997,0.00012584552306815766,0.7031146601869436,False
4site_GB1,max_fitness,FLEXS,GreedyWalk,0.8623368473827678,0.8345908537149408,0.02774599366782704,0.6578217674994555,False
4site_GB1,max_fitness,FLEXS,CLADE,0.8623368473827678,0.8345908537149408,0.02774599366782704,0.42817345240381544,False
4site_GB1,max_fitness,FLEXS,EVOLVEpro,0.8623368473827678,0.49837728503583734,0.3639595623469305,9.313225746154785e-09,True
4site_GB1,max_fitness,FLEXS,AiCE,0.8623368473827678,0.4745491238749977,0.38778772350777013,1.707294403549849e-06,True
4site_GB1,max_fitness,FLEXS,Random,0.8623368473827678,0.4716342609579813,0.39070258642478656,1.862645149230957e-09,True
4site_GB1,max_fitness,ftMLDE,MULTIevolve,0.8622110018596997,0.8622110018596997,0.0,0.4070835641710632,False
4site_GB1,max_fitness,ftMLDE,GreedyWalk,0.8622110018596997,0.8345908537149408,0.027620148144758883,0.17869100762203782,False
4site_GB1,max_fitness,ftMLDE,CLADE,0.8622110018596997,0.8345908537149408,0.027620148144758883,0.36785782392088817,False
4site_GB1,max_fitness,ftMLDE,EVOLVEpro,0.8622110018596997,0.49837728503583734,0.36383371682386234,3.725290298461914e-09,True
4site_GB1,max_fitness,ftMLDE,AiCE,0.8622110018596997,0.4745491238749977,0.387661877984702,1.7170105183845441e-06,True
4site_GB1,max_fitness,ftMLDE,Random,0.8622110018596997,0.4716342609579813,0.3905767409017184,1.862645149230957e-09,True
4site_GB1,max_fitness,MULTIevolve,GreedyWalk,0.8622110018596997,0.8345908537149408,0.027620148144758883,0.45913307723737573,False
4site_GB1,max_fitness,MULTIevolve,CLADE,0.8622110018596997,0.8345908537149408,0.027620148144758883,0.8637904132309939,False
4site_GB1,max_fitness,MULTIevolve,EVOLVEpro,0.8622110018596997,0.49837728503583734,0.36383371682386234,3.725290298461914e-09,True
4site_GB1,max_fitness,MULTIevolve,AiCE,0.8622110018596997,0.4745491238749977,0.387661877984702,1.9053914697663718e-06,True
4site_GB1,max_fitness,MULTIevolve,Random,0.8622110018596997,0.4716342609579813,0.3905767409017184,3.725290298461914e-09,True
4site_GB1,max_fitness,GreedyWalk,CLADE,0.8345908537149408,0.8345908537149408,0.0,0.7274735549943461,False
4site_GB1,max_fitness,GreedyWalk,EVOLVEpro,0.8345908537149408,0.49837728503583734,0.33621356867910346,9.313225746154785e-09,True
