dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
4site_GB1,top128,ALDE,ftMLDE,0.5394403026305856,0.4575713568718188,0.0818689457587668,8.856505155563354e-05,True
4site_GB1,top128,ALDE,AlphaVariant,0.5394403026305856,0.4428378293409991,0.09660247328958654,4.4075772166252136e-05,True
4site_GB1,top128,ALDE,MULTIevolve,0.5394403026305856,0.44001222592501604,0.09942807670556958,1.6838312149047852e-06,True
4site_GB1,top128,ALDE,FLEXS,0.5394403026305856,0.41701473618609153,0.1224255664444941,2.7623027563095093e-06,True
4site_GB1,top128,ALDE,CLADE,0.5394403026305856,0.4142933152878641,0.1251469873427215,3.1478703022003174e-07,True
4site_GB1,top128,ALDE,GreedyWalk,0.5394403026305856,0.26361982754032265,0.275820475090263,3.725290298461914e-09,True
4site_GB1,top128,ALDE,AiCE,0.5394403026305856,0.12340767950172711,0.4160326231288585,1.862645149230957e-09,True
4site_GB1,top128,ALDE,EVOLVEpro,0.5394403026305856,0.022809939770874997,0.5166303628597106,1.862645149230957e-09,True
4site_GB1,top128,ALDE,Random,0.5394403026305856,0.002422329948174186,0.5370179726824115,1.862645149230957e-09,True
4site_GB1,top128,ftMLDE,AlphaVariant,0.4575713568718188,0.4428378293409991,0.014733527530819746,0.2988441474735737,False
4site_GB1,top128,ftMLDE,MULTIevolve,0.4575713568718188,0.44001222592501604,0.01755913094680278,0.15794767439365387,False
4site_GB1,top128,ftMLDE,FLEXS,0.4575713568718188,0.41701473618609153,0.040556620685727296,0.0006665531545877457,True
4site_GB1,top128,ftMLDE,CLADE,0.4575713568718188,0.4142933152878641,0.04327804158395471,0.005382779985666275,False
4site_GB1,top128,ftMLDE,GreedyWalk,0.4575713568718188,0.26361982754032265,0.19395152933149618,1.862645149230957e-09,True
4site_GB1,top128,ftMLDE,AiCE,0.4575713568718188,0.12340767950172711,0.3341636773700917,1.862645149230957e-09,True
4site_GB1,top128,ftMLDE,EVOLVEpro,0.4575713568718188,0.022809939770874997,0.43476141710094385,1.862645149230957e-09,True
4site_GB1,top128,ftMLDE,Random,0.4575713568718188,0.002422329948174186,0.4551490269236446,1.862645149230957e-09,True
4site_GB1,top128,AlphaVariant,MULTIevolve,0.4428378293409991,0.44001222592501604,0.0028256034159830357,0.7000329215079546,False
4site_GB1,top128,AlphaVariant,FLEXS,0.4428378293409991,0.41701473618609153,0.02582309315490755,0.009301122277975082,False
4site_GB1,top128,AlphaVariant,CLADE,0.4428378293409991,0.4142933152878641,0.02854451405313496,0.006639536470174789,False
4site_GB1,top128,AlphaVariant,GreedyWalk,0.4428378293409991,0.26361982754032265,0.17921800180067643,1.862645149230957e-09,True
4site_GB1,top128,AlphaVariant,AiCE,0.4428378293409991,0.12340767950172711,0.319430149839272,1.862645149230957e-09,True
4site_GB1,top128,AlphaVariant,EVOLVEpro,0.4428378293409991,0.022809939770874997,0.4200278895701241,1.862645149230957e-09,True
4site_GB1,top128,AlphaVariant,Random,0.4428378293409991,0.002422329948174186,0.44041549939282487,1.862645149230957e-09,True
