dataset,metric,best,other,median_best,median_other,median_diff,p_greater,sig_bonferroni
4site_GB1,max_fitness,ALDE,AlphaVariant,1.0,0.9999999607063074,3.929369263300231e-08,0.15844934330535826,False
4site_GB1,max_fitness,ALDE,FLEXS,1.0,0.8623368473827678,0.13766315261723217,0.044396452357253265,False
4site_GB1,max_fitness,ALDE,ftMLDE,1.0,0.8622110018596997,0.13778899814030032,0.06192598138736704,False
4site_GB1,max_fitness,ALDE,MULTIevolve,1.0,0.8622110018596997,0.13778899814030032,0.013035190774574578,False
4site_GB1,max_fitness,ALDE,GreedyWalk,1.0,0.8345908537149408,0.1654091462850592,0.011077245904785022,False
4site_GB1,max_fitness,ALDE,CLADE,1.0,0.8345908537149408,0.1654091462850592,0.009539618877082755,False
4site_GB1,max_fitness,ALDE,EVOLVEpro,1.0,0.49837728503583734,0.5016227149641627,2.7939677238464355e-09,True
4site_GB1,max_fitness,ALDE,AiCE,1.0,0.4745491238749977,0.5254508761250023,8.445335024990601e-07,True
4site_GB1,max_fitness,ALDE,Random,1.0,0.4716342609579813,0.5283657390420187,2.7939677238464355e-09,True
4site_PhoQ,max_fitness,MULTIevolve,ftMLDE,0.5170164858118541,0.47899054103630345,0.03802594477555066,0.3606154892693363,False
4site_PhoQ,max_fitness,MULTIevolve,AlphaVariant,0.5170164858118541,0.4635623426048117,0.05345414320704239,0.08209204114973545,False
4site_PhoQ,max_fitness,MULTIevolve,ALDE,0.5170164858118541,0.4553539609146411,0.06166252489721302,0.13781066201947262,False
4site_PhoQ,max_fitness,MULTIevolve,FLEXS,0.5170164858118541,0.42805041083339634,0.08896607497845777,0.0004469335590324186,True
4site_PhoQ,max_fitness,MULTIevolve,CLADE,0.5170164858118541,0.40691501963370136,0.11010146617815275,0.0026590951921107242,True
4site_PhoQ,max_fitness,MULTIevolve,GreedyWalk,0.5170164858118541,0.3419934664862498,0.17502301932560432,0.000526601309993771,True
4site_PhoQ,max_fitness,MULTIevolve,AiCE,0.5170164858118541,0.3256729748461517,0.1913435109657024,6.180573862060084e-06,True
4site_PhoQ,max_fitness,MULTIevolve,EVOLVEpro,0.5170164858118541,0.20054061512780447,0.31647587068404964,1.862645149230957e-09,True
4site_PhoQ,max_fitness,MULTIevolve,Random,0.5170164858118541,0.1936756604321428,0.3233408253797113,1.7574815406371137e-06,True
4site_TRPB,max_fitness,ALDE,MULTIevolve,0.932033526,0.932033526,0.0,0.5862894803112602,False
4site_TRPB,max_fitness,ALDE,AlphaVariant,0.932033526,0.884214174,0.04781935199999998,0.2214520389468317,False
4site_TRPB,max_fitness,ALDE,ftMLDE,0.932033526,0.87050825,0.06152527600000002,0.13534779679041387,False
4site_TRPB,max_fitness,ALDE,CLADE,0.932033526,0.841000643,0.09103288300000001,0.10473462779411413,False
4site_TRPB,max_fitness,ALDE,FLEXS,0.932033526,0.813543058,0.11849046799999996,0.01956618999305996,False
4site_TRPB,max_fitness,ALDE,GreedyWalk,0.932033526,0.752894791,0.179138735,0.0026590951921107242,True
4site_TRPB,max_fitness,ALDE,AiCE,0.932033526,0.6655259675,0.26650755849999996,2.8384433782490347e-06,True
4site_TRPB,max_fitness,ALDE,EVOLVEpro,0.932033526,0.6221049574999999,0.30992856850000006,1.7695128917694092e-08,True
4site_TRPB,max_fitness,ALDE,Random,0.932033526,0.610289724,0.32174380199999997,1.862645149230957e-09,True
4site_GB1,top128,ALDE,ftMLDE,0.5394403026305856,0.4575713568718188,0.0818689457587668,4.428252577781677e-05,True
4site_GB1,top128,ALDE,AlphaVariant,0.5394403026305856,0.4428378293409991,0.09660247328958654,2.2037886083126068e-05,True
4site_GB1,top128,ALDE,MULTIevolve,0.5394403026305856,0.44001222592501604,0.09942807670556958,8.419156074523926e-07,True
4site_GB1,top128,ALDE,FLEXS,0.5394403026305856,0.41701473618609153,0.1224255664444941,1.3811513781547546e-06,True
4site_GB1,top128,ALDE,CLADE,0.5394403026305856,0.4142933152878641,0.1251469873427215,1.5739351511001587e-07,True
4site_GB1,top128,ALDE,GreedyWalk,0.5394403026305856,0.26361982754032265,0.275820475090263,1.862645149230957e-09,True
4site_GB1,top128,ALDE,AiCE,0.5394403026305856,0.12340767950172711,0.4160326231288585,9.313225746154785e-10,True
4site_GB1,top128,ALDE,EVOLVEpro,0.5394403026305856,0.022809939770874997,0.5166303628597106,9.313225746154785e-10,True
