method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std,queries_mean,queries_std,n_rounds_mean,n_rounds_std,n_in_landscape_mean,n_in_landscape_std,n_off_landscape_mean,n_off_landscape_std,round_mean,round_std,simple_regret_raw_mean,simple_regret_raw_std
ALDE,4site_GB1,30,1.1666666666666667,0.3726779962499649,2.0,0.0,3.566666666666667,0.4955356249106169,0.5157518141553344,0.056691686219030216,0.4226401655057722,0.062411468639020765,0.9156299803434425,0.1089086911449346,0.0,0.0,0.0,0.0,0.0,0.0,0.08437001965655737,0.10890869114493461,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
AiCE,4site_GB1,30,2.0,0.0,2.0,0.0,3.0,0.0,0.09946335854946324,0.03989348625239669,0.028143805329036216,0.010704008504694749,0.5072245919598054,0.06969812246752241,0.21972480507815687,0.0662204235891984,0.21699841813133244,0.06628035938688351,0.0,0.0,0.4927754080401946,0.06969812246752241,0.3288524566826909,0.07820897972377676,0.23994993854151975,0.0098193255790392,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
CLADE,4site_GB1,31,1.7419354838709677,0.4375696763306625,2.0,0.0,3.6774193548387095,0.4674637660061109,0.4002788424994186,0.05576324191756459,0.24021086448468576,0.06419992983040519,0.8514932439148817,0.1187888683276071,0.0,0.0,0.0,0.0,0.0,0.0,0.14850675608511846,0.1187888683276071,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,7.460754559251289,1.0408239845671508,8.761965655710004,3.552713678800501e-15,,,,,,,,,,,,
EVOLVEpro,4site_GB1,30,,,,,,,,,,,0.5095135488741247,0.09444447879808125,,,,,,,,,,,,,,,,,455.5,273.7225785352754,,,,,480.0,0.0,5.0,0.0,,,,,,,,
FLEXS,4site_GB1,30,1.4,0.48989794855663565,2.0,0.0,3.0,0.0,0.40751075088757216,0.05750220603755685,0.25391667967445586,0.05646313108253091,0.8769957192254811,0.13198130431867758,0.9083995307924566,0.018986339059150086,0.0,0.0,0.0,0.0,0.12300036108837403,0.1319813043186776,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
GreedyWalk,4site_GB1,30,1.9833333333333334,0.08975274678557507,2.0,0.0,4.0,0.0,0.24698163176478388,0.08928199625541745,0.05171788630592487,0.03950658087153476,0.8292877473130436,0.14306221841822167,0.0,0.0,0.0,0.0,0.0,0.0,0.1707122526869565,0.14306221841822167,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,7.2661907606580005,1.2535062444101408,8.761965655710004,3.552713678800501e-15,,,,,,,,,,,,
MULTIevolve,4site_GB1,30,,,,,,,,,,,0.8568161686142021,0.13239185810512116,,,,,,,,,,,,,,,,,455.5,273.7225785352754,,,,,480.0,0.0,5.0,0.0,,,,,,,,
Mu-Protein,4site_GB1,2,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,241.5,141.5,,,,,480.0,0.0,5.0,0.0,,,,,,,,
Random,4site_GB1,30,3.0,0.0,2.0,0.0,4.0,0.0,0.002585848419860538,0.0005001843757357139,0.0009466930684221773,9.267594317486922e-05,0.49655479823286064,0.12118141411477629,0.0,0.0,0.0,0.0,0.0,0.0,0.5034452017671394,0.12118141411477629,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,4.350796088294333,1.061787388584041,8.761965655710004,3.552713678800501e-15,,,,,,,,,,,,
alphavariant,4site_GB1,31,1.9193548387096775,0.25705447500821343,2.0,0.0,4.580645161290323,1.0088061787814122,0.5508216052948262,0.12059314011217598,0.43967682213269677,0.14037272806024928,0.9161877532016769,0.8515511475903516,0.7292443069714648,0.09538000283543902,0.0,0.0,0.0,0.0,0.4557020772435484,1.6918153607665045,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,,,,,,,,,480.0,0.0,0.0,0.0,,,,
