method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std,queries_mean,queries_std,n_rounds_mean,n_rounds_std,n_in_landscape_mean,n_in_landscape_std,n_off_landscape_mean,n_off_landscape_std,round_mean,round_std,simple_regret_raw_mean,simple_regret_raw_std
ALDE,4site_PhoQ,30,1.9666666666666666,0.1795054935711501,2.0,0.0,3.933333333333333,0.24944382578492943,0.120072061769266,0.01239204997046177,0.08435186248542696,0.011409365475236537,0.5245365436325974,0.21288403407143242,0.0,0.0,0.0,0.0,0.0,0.0,0.4754634563674026,0.21288403407143242,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
AiCE,4site_PhoQ,30,2.0,0.0,2.066666666666667,0.24944382578492943,3.033333333333333,0.1795054935711501,0.060482599586481764,0.004723227306342781,0.01083643218166605,0.007864015190393259,0.29437415591838884,0.09096175886033238,0.20380597553348465,0.040450185735819766,0.20102208977638197,0.03995660358958903,0.003,0.0045825756949558405,0.7056258440816111,0.09096175886033238,0.2339871019149325,0.047027172055136957,0.2328775698168659,0.004342553416845974,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
CLADE,4site_PhoQ,30,1.9,0.30000000000000004,2.0,0.0,3.7333333333333334,0.4422166387140533,0.09837818874891238,0.019857086377373247,0.052465827691746555,0.021462457096863057,0.44042999565440444,0.2163266519772801,0.0,0.0,0.0,0.0,0.0,0.0,0.5595700043455956,0.2163266519772801,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,58.83892375555332,28.900001152448795,133.59427,0.0,,,,,,,,,,,,
EVOLVEpro,4site_PhoQ,30,,,,,,,,,,,0.25359113364697455,0.11853387240511346,,,,,,,,,,,,,,,,,455.5,273.7225785352754,,,,,480.0,0.0,5.0,0.0,,,,,,,,
FLEXS,4site_PhoQ,31,1.967741935483871,0.17668469596940847,2.0,0.0,3.0,0.0,0.09915334903040933,0.020256758106555355,0.05643038111872178,0.02083567034823682,0.45968745926491006,0.19868965683977277,0.7804510512712148,0.06814519039456518,0.0,0.0,0.0,0.0,0.5403123161746106,0.19868965683977283,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,,,,,,,,,,,,,,,,
GreedyWalk,4site_PhoQ,30,2.0,0.0,2.0,0.0,4.0,0.0,0.04245511024233175,0.021927018713162622,0.0036059355602832996,0.00909798362034024,0.40407983177828916,0.19702066211897865,0.0,0.0,0.0,0.0,0.0,0.0,0.5959201682217109,0.19702066211897867,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,53.982750148143325,26.32083153070161,133.59427,0.0,,,,,,,,,,,,
MULTIevolve,4site_PhoQ,30,,,,,,,,,,,0.5900323419559836,0.24133197279560495,,,,,,,,,,,,,,,,,455.5,273.7225785352754,,,,,480.0,0.0,5.0,0.0,,,,,,,,
Random,4site_PhoQ,30,2.1,0.30000000000000004,2.0,0.0,4.0,0.0,0.0006279606647490944,0.00024399668493103866,7.137975815074625e-05,2.1870141124464002e-05,0.24347069005145203,0.10681570006976199,0.0,0.0,0.0,0.0,0.0,0.0,0.7565293099485478,0.10681570006976199,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,32.52628910382,14.269965475358799,133.59427,0.0,,,,,,,,,,,,
alphavariant,4site_PhoQ,31,1.9193548387096775,0.25705447500821343,2.0,0.0,4.580645161290323,1.0088061787814122,0.5508216052948262,0.12059314011217598,0.43967682213269677,0.14037272806024928,0.7492933695749491,0.13571805980468846,0.7292443069714648,0.09538000283543902,0.0,0.0,0.0,0.0,0.16301560229623271,0.12208692599975375,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,,,,,,,,,480.0,0.0,0.0,0.0,,,,
delta_cs,4site_PhoQ,30,2.0,0.6831300510639732,2.3309895833333334,0.4582925674342225,0.21605994152046784,0.546135948819165,0.09094644439798745,0.09110348787727057,0.089073854210101,0.0925717040665524,0.10145613729370792,0.08699134749369472,0.11404897890320939,0.5024417873209388,-0.47009697488720514,0.44314747290548867,0.000260787102892366,0.00043002269196816155,0.8985438627062919,0.0869913474936947,0.0,0.0,12453.487365063434,50769.0100299395,,,,,455.5,273.7225785352754,13.553958598772684,11.621545564736476,133.59427,0.0,,,,,,,,,5.0,0.0,120.04031140122733,11.621545564736476
ftMLDE,4site_PhoQ,30,1.8,0.4,2.0,0.0,3.4,0.48989794855663565,0.11610972874845857,0.014230084092766512,0.07333733754740629,0.01651336938574564,0.5547643427287962,0.23297126944225086,0.0,0.0,0.0,0.0,0.0,0.0,0.44523565727120396,0.23297126944225086,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,74.11333738888334,31.123626672110813,133.59427,0.0,,,,,,,,,,,,
