method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std,queries_mean,queries_std,n_rounds_mean,n_rounds_std,n_in_landscape_mean,n_in_landscape_std,n_off_landscape_mean,n_off_landscape_std,round_mean,round_std,simple_regret_raw_mean,simple_regret_raw_std
ALDE,4site_GB1,30,1.1666666666666667,0.3726779962499649,2.0,0.0,3.566666666666667,0.4955356249106169,0.5157518141553344,0.056691686219030216,0.4226401655057722,0.062411468639020765,0.9156299803434425,0.1089086911449346,0.0,0.0,0.0,0.0,0.0,0.0,0.08437001965655737,0.10890869114493461,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
ALDE,4site_PhoQ,30,1.9666666666666666,0.1795054935711501,2.0,0.0,3.933333333333333,0.24944382578492943,0.120072061769266,0.01239204997046177,0.08435186248542696,0.011409365475236537,0.5245365436325974,0.21288403407143242,0.0,0.0,0.0,0.0,0.0,0.0,0.4754634563674026,0.21288403407143242,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
ALDE,4site_TEV,30,2.0,0.0,2.0,0.0,3.8666666666666667,0.33993463423951903,0.5279613280739318,0.05372157899472425,0.4919795633174317,0.04603014168440373,0.5467999649399322,0.19751410729958307,0.0,0.0,0.0,0.0,0.0,0.0,0.45320003506006773,0.19751410729958307,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
ALDE,TRPB,30,1.4,0.48989794855663565,2.0,0.0,3.3666666666666667,0.4818944098266986,0.6095189787,0.05245716659129034,0.5196134939,0.05930831510684054,0.9004256046666665,0.1067681095705387,0.0,0.0,0.0,0.0,0.0,0.0,0.09957439533333332,0.10676810957053874,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
AiCE,4site_GB1,30,2.0,0.0,2.0,0.0,3.0,0.0,0.09946335854946324,0.03989348625239669,0.028143805329036216,0.010704008504694749,0.5072245919598054,0.06969812246752241,0.21972480507815687,0.0662204235891984,0.21699841813133244,0.06628035938688351,0.0,0.0,0.4927754080401946,0.06969812246752241,0.3288524566826909,0.07820897972377676,0.23994993854151975,0.0098193255790392,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
AiCE,4site_PhoQ,30,2.0,0.0,2.066666666666667,0.24944382578492943,3.033333333333333,0.1795054935711501,0.060482599586481764,0.004723227306342781,0.01083643218166605,0.007864015190393259,0.29437415591838884,0.09096175886033238,0.20380597553348465,0.040450185735819766,0.20102208977638197,0.03995660358958903,0.003,0.0045825756949558405,0.7056258440816111,0.09096175886033238,0.2339871019149325,0.047027172055136957,0.2328775698168659,0.004342553416845974,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
AiCE,4site_TEV,30,2.0,0.0,2.0,0.0,3.0,0.0,0.5887009875797128,0.011970498087027891,0.5096392822800576,0.013694878076537027,0.6661799914745428,0.009279952375800303,0.0024092982723072044,0.023678799606759567,-0.001365032435525438,0.02389840991198097,0.0003333333333333333,0.0017950549357115017,0.33382000852545735,0.009279952375800305,0.5900275797451415,0.03743779139974192,0.4388144912554941,0.007721825636308496,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
AiCE,TRPB,30,2.033333333333333,0.1795054935711501,2.0,0.0,3.0,0.0,0.09142685131666667,0.023001379454498174,0.03615747319999999,0.004734833441717138,0.7010715459666665,0.09445198102627989,0.09168737953661678,0.03178928213969308,0.08978728646812756,0.03202035792428268,0.002,0.0054160256030906405,0.29892845403333335,0.0944519810262799,0.20589792530942796,0.04574380732778153,0.22692716738068172,0.010696354899147208,0.0,0.0,0.0,0.0,455.5,273.7225785352754,,,,,,,,,,,,,,,,
CLADE,4site_GB1,31,1.7419354838709677,0.4375696763306625,2.0,0.0,3.6774193548387095,0.4674637660061109,0.4002788424994186,0.05576324191756459,0.24021086448468576,0.06419992983040519,0.8514932439148817,0.1187888683276071,0.0,0.0,0.0,0.0,0.0,0.0,0.14850675608511846,0.1187888683276071,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,7.460754559251289,1.0408239845671508,8.761965655710004,3.552713678800501e-15,,,,,,,,,,,,
CLADE,4site_PhoQ,30,1.9,0.30000000000000004,2.0,0.0,3.7333333333333334,0.4422166387140533,0.09837818874891238,0.019857086377373247,0.052465827691746555,0.021462457096863057,0.44042999565440444,0.2163266519772801,0.0,0.0,0.0,0.0,0.0,0.0,0.5595700043455956,0.2163266519772801,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,58.83892375555332,28.900001152448795,133.59427,0.0,,,,,,,,,,,,
